trait	trait_abbr	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
Severe mental retardation	F5_SEVRET	V Mental and behavioural disorders (F5_)	76	72.0	452317	0	0.0	0.43022	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_SEVRET.FINEMAP.snp.bgz
Specific development disorders of scholastic skills	F5_SCHOLA	V Mental and behavioural disorders (F5_)	1512	1309.0	448872	0	0.0	1.0351	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_SCHOLA.FINEMAP.snp.bgz
Schizotypal disorder	F5_SCHIZOTYP	V Mental and behavioural disorders (F5_)	864	822.0	439144	0	0.0	0.93042	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_SCHIZOTYP.FINEMAP.snp.bgz
Other and unspecified nonorganic psychotic disorders	F5_PSYCHOTH	V Mental and behavioural disorders (F5_)	8409	7929.0	439144	0	0.0	1.0362	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PSYCHOTH.FINEMAP.snp.bgz
Phobic anxiety disorders	F5_PHOBANX	V Mental and behavioural disorders (F5_)	5534	4847.0	403817	0	0.0	1.0591	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PHOBANX.FINEMAP.snp.bgz
Other and unspecified disorders of adult personality and behaviour	F5_PERSOTH	V Mental and behavioural disorders (F5_)	194	173.0	441041	0	0.0	0.66601	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PERSOTH.FINEMAP.snp.bgz
Enduring personality changes	F5_PERSOCHANGE	V Mental and behavioural disorders (F5_)	133	124.0	441041	0	0.0	0.56789	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PERSOCHANGE.FINEMAP.snp.bgz
Personality and behavioural disorders due to brain disease, damage and dysfunction	F5_PERSBEHORG	V Mental and behavioural disorders (F5_)	491	463.0	428053	0	1.0	0.88803	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PERSBEHORG.FINEMAP.snp.bgz
Paranoid personality disorder	F5_PARAPER	V Mental and behavioural disorders (F5_)	639	608.0	441041	0	2.0	0.93247	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PARAPER.FINEMAP.snp.bgz
Panic disorder	F5_PANIC	V Mental and behavioural disorders (F5_)	6142	5368.0	403817	0	0.0	1.0614	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_PANIC.FINEMAP.snp.bgz
Other and unspecified mental retardation	F5_OTHRET	V Mental and behavioural disorders (F5_)	486	464.0	452317	0	1.0	0.87507	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_OTHRET.FINEMAP.snp.bgz
Mental and behavioural disorders due to opioids	F5_OPIOIDS	V Mental and behavioural disorders (F5_)	1312	1197.0	445828	0	0.0	1.0187	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_OPIOIDS.FINEMAP.snp.bgz
Obsessive-compulsive disorder	F5_OCD	V Mental and behavioural disorders (F5_)	2490	2175.0	403817	0	0.0	1.0543	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_OCD.FINEMAP.snp.bgz
Nightmares	F5_NIGHTMARES	V Mental and behavioural disorders (F5_)	61	55.0	445483	0	0.0	0.38831	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_NIGHTMARES.FINEMAP.snp.bgz
Mental disorders, not otherwise specified	F5_MENTALUNSPE	V Mental and behavioural disorders (F5_)	3129	2823.0	434312	0	1.0	1.032	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_MENTALUNSPE.FINEMAP.snp.bgz
Manic episode	F5_MANIA	V Mental and behavioural disorders (F5_)	1061	992.0	394756	0	0.0	0.9944	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_MANIA.FINEMAP.snp.bgz
Hyperkinetic disorders (excl. ADHD)	F5_HYPERKIN	V Mental and behavioural disorders (F5_)	595	524.0	445327	0	0.0	0.92794	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_HYPERKIN.FINEMAP.snp.bgz
Histrionic personality disorder	F5_HISPER	V Mental and behavioural disorders (F5_)	158	148.0	441041	0	1.0	0.60918	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_HISPER.FINEMAP.snp.bgz
Mental and behavioural disorders due to hallucinogens	F5_HALLUCIN	V Mental and behavioural disorders (F5_)	168	160.0	445828	0	0.0	0.60228	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_HALLUCIN.FINEMAP.snp.bgz
Habit and impulse disorders	F5_HABIT	V Mental and behavioural disorders (F5_)	557	496.0	441041	0	0.0	0.90833	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_HABIT.FINEMAP.snp.bgz
Gender identity disorders	F5_GENDER	V Mental and behavioural disorders (F5_)	433	366.0	441041	0	0.0	0.86883	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_GENDER.FINEMAP.snp.bgz
Generalized anxiety disorder	F5_GAD	V Mental and behavioural disorders (F5_)	6242	5280.0	403817	0	1.0	1.0571	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_GAD.FINEMAP.snp.bgz
Emotionally unstable personality disorder	F5_EMOPER	V Mental and behavioural disorders (F5_)	5000	4551.0	441041	0	0.0	1.0842	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_EMOPER.FINEMAP.snp.bgz
Dissocial personality disorder	F5_DISPER	V Mental and behavioural disorders (F5_)	535	507.0	441041	0	0.0	0.89419	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_DISPER.FINEMAP.snp.bgz
Psychotic depression	F5_DEPRESSION_PSYCHOTIC	V Mental and behavioural disorders (F5_)	2368	2149.0	236510	0	0.0	1.0393	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_DEPRESSION_PSYCHOTIC.FINEMAP.snp.bgz
Dependent personality disorder	F5_DEPPER	V Mental and behavioural disorders (F5_)	688	656.0	441041	0	0.0	0.94163	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_DEPPER.FINEMAP.snp.bgz
Mental and behavioural disorders due to cannabinoids	F5_CANNABIS	V Mental and behavioural disorders (F5_)	1083	1010.0	445828	0	0.0	0.99203	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_CANNABIS.FINEMAP.snp.bgz
Bulimia nervosa (incl. atypical)	F5_BULIMIA	V Mental and behavioural disorders (F5_)	1262	1126.0	440202	0	0.0	1.0193	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_BULIMIA.FINEMAP.snp.bgz
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	F5_BEHEMOCHILD	V Mental and behavioural disorders (F5_)	8406	7028.0	445327	0	0.0	1.0734	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_BEHEMOCHILD.FINEMAP.snp.bgz
Anorexia (incl.atypical)	F5_ANOREX	V Mental and behavioural disorders (F5_)	2352	2115.0	440202	0	0.0	1.0163	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_ANOREX.FINEMAP.snp.bgz
Agoraphobia	F5_AGORAPHOBIA	V Mental and behavioural disorders (F5_)	1153	1003.0	403817	0	0.0	1.0093	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_F5_AGORAPHOBIA.FINEMAP.snp.bgz
Eosinophilic disease (BM)	ESOSINOPHIL_DISEASE	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	480	441.0	250671	0	0.0	0.87364	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_ESOSINOPHIL_DISEASE.FINEMAP.snp.bgz
Epileptic seizures related to alcohol	EPISEIZALCO	Alcohol related diseases	184	176.0	453549	0	0.0	0.64574	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_EPISEIZALCO.FINEMAP.snp.bgz
Epileptic seizures related to drugs	EPILEPTIC_SEIZU_RELATED_DRUGS	VI Diseases of the nervous system (G6_)	101	95.0	453632	0	0.0	0.4785	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_EPILEPTIC_SEIZU_RELATED_DRUGS.FINEMAP.snp.bgz
Volume depletion	E4_VOLUME	IV Endocrine, nutritional and metabolic diseases (E4_)	3318	2913.0	384093	0	0.0	1.024	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_VOLUME.FINEMAP.snp.bgz
Vitamin A deficiency	E4_VIT_A_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	144	129.0	424573	0	0.0	0.60847	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_VIT_A_DEF.FINEMAP.snp.bgz
Thyrotoxicosis factitia	E4_THYTOXFAC	IV Endocrine, nutritional and metabolic diseases (E4_)	100	93.0	443932	0	0.0	0.50408	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYTOXFAC.FINEMAP.snp.bgz
Disorder of thyroid, unspecified	E4_THYROIDNASOTH	IV Endocrine, nutritional and metabolic diseases (E4_)	377	331.0	385630	0	1.0	0.84298	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYROIDNASOTH.FINEMAP.snp.bgz
Drug-induced thyroiditis	E4_THYROIDITDRUG	IV Endocrine, nutritional and metabolic diseases (E4_)	65	50.0	385630	0	0.0	0.39774	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYROIDITDRUG.FINEMAP.snp.bgz
Acute thyroiditis	E4_THYROIDITACU	IV Endocrine, nutritional and metabolic diseases (E4_)	130	116.0	385630	0	0.0	0.56813	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYROIDITACU.FINEMAP.snp.bgz
Disease of thymus, other/unspecified	E4_THYMUSDISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	50		434894	0		0.35131	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYMUSDISNAS.FINEMAP.snp.bgz
Diseases of thymus	E4_THYMUSDIS	IV Endocrine, nutritional and metabolic diseases (E4_)	80	76.0	434894	0	0.0	0.45501	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYMUSDIS.FINEMAP.snp.bgz
Thyroid crisis or storm	E4_THYCRISIS	IV Endocrine, nutritional and metabolic diseases (E4_)	75	66.0	385630	0	0.0	0.45091	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THYCRISIS.FINEMAP.snp.bgz
Thiamine deficiency	E4_THIA_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	166	155.0	424573	0	0.0	0.62654	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_THIA_DEF.FINEMAP.snp.bgz
Testicular hypofunction	E4_TESTICHYPO	IV Endocrine, nutritional and metabolic diseases (E4_)	972	782.0	192896	0	0.0	0.98107	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_TESTICHYPO.FINEMAP.snp.bgz
Testicular dysfunction, other/unspecified	E4_TESTICDYSNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	126	106.0	192896	0	0.0	0.54141	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_TESTICDYSNAS.FINEMAP.snp.bgz
Sequelae of malnutrition and other nutritional deficiencies	E4_SEQUMAL	IV Endocrine, nutritional and metabolic diseases (E4_)	72	66.0	424573	0	0.0	0.41906	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_SEQUMAL.FINEMAP.snp.bgz
Disorders of puberty, other/unspecified	E4_PUBDISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	124	115.0	434894	0	0.0	0.54771	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PUBDISNAS.FINEMAP.snp.bgz
Unspecified severe protein-energy malnutrition	E4_PROTMALSEVERNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	51		453148	0		0.34743	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PROTMALSEVERNAS.FINEMAP.snp.bgz
Unspecified protein-energy malnutrition	E4_PROTMALNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	149	127.0	453148	0	0.0	0.59257	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PROTMALNAS.FINEMAP.snp.bgz
Protein-energy malnutrition of moderate and mild degree	E4_PROTMALMODMILD	IV Endocrine, nutritional and metabolic diseases (E4_)	233	211.0	453148	0	0.0	0.70752	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PROTMALMODMILD.FINEMAP.snp.bgz
Precocious puberty	E4_PREPUB	IV Endocrine, nutritional and metabolic diseases (E4_)	152	135.0	434894	0	0.0	0.5988	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PREPUB.FINEMAP.snp.bgz
Other porphyria	E4_PORPHYNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	53		384093	0		0.3688	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PORPHYNAS.FINEMAP.snp.bgz
Disorder of pancreatic internal secretion, other and/or unspecified	E4_PANCSECNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	226	210.0	450646	0	0.0	0.70734	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_PANCSECNAS.FINEMAP.snp.bgz
Drug-induced obesity	E4_OBESITYDRUG	IV Endocrine, nutritional and metabolic diseases (E4_)	288	267.0	426022	0	0.0	0.77451	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_OBESITYDRUG.FINEMAP.snp.bgz
Other specified/unspecified nutritional deficiencies	E4_NUTRI_DEF_NAS	IV Endocrine, nutritional and metabolic diseases (E4_)	236	221.0	424573	0	0.0	0.72198	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_NUTRI_DEF_NAS.FINEMAP.snp.bgz
Disorders of magnesium metabolism	E4_MG_MET	IV Endocrine, nutritional and metabolic diseases (E4_)	198	175.0	384093	0	0.0	0.6691	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_MG_MET.FINEMAP.snp.bgz
Magnesium deficiency	E4_MG_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	82	73.0	424573	0	0.0	0.45768	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_MG_DEF.FINEMAP.snp.bgz
Marasmic kwashiorkor	E4_MARAKWASH	IV Endocrine, nutritional and metabolic diseases (E4_)	71	64.0	453148	0	0.0	0.40349	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_MARAKWASH.FINEMAP.snp.bgz
Malnutrition	E4_MALNUTRITION	IV Endocrine, nutritional and metabolic diseases (E4_)	585	524.0	453148	0	0.0	0.91299	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_MALNUTRITION.FINEMAP.snp.bgz
Localized adiposity	E4_LOCALADIP	IV Endocrine, nutritional and metabolic diseases (E4_)	152	137.0	425881	0	0.0	0.61432	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_LOCALADIP.FINEMAP.snp.bgz
Lipomatosis, not elsewhere classified	E4_LIPOMATOSIS	IV Endocrine, nutritional and metabolic diseases (E4_)	83	74.0	384093	0	1.0	0.4642	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_LIPOMATOSIS.FINEMAP.snp.bgz
Lipoprotein deficiency	E4_LIPODEF	IV Endocrine, nutritional and metabolic diseases (E4_)	61	55.0	384093	0	0.0	0.39176	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_LIPODEF.FINEMAP.snp.bgz
Hypothyroidism, autoimmune, DX-based	E4_HYTHY_AI_DX	IV Endocrine, nutritional and metabolic diseases (E4_)	123	108.0	453121	0	0.0	0.5636	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYTHY_AI_DX.FINEMAP.snp.bgz
Hypothyroidism due to medicaments and other exogenous substances	E4_HYTHYSUBS	IV Endocrine, nutritional and metabolic diseases (E4_)	322	280.0	385630	0	0.0	0.79319	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYTHYSUBS.FINEMAP.snp.bgz
Postinfectious hypothyroidism	E4_HYTHYPOSTINF	IV Endocrine, nutritional and metabolic diseases (E4_)	185	168.0	385630	0	0.0	0.66868	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYTHYPOSTINF.FINEMAP.snp.bgz
Hypothalamic dysfunction, including iatrogenic, not elsewhere classified	E4_HYPOTHALDYSF	IV Endocrine, nutritional and metabolic diseases (E4_)	60	58.0	434894	0	0.0	0.38247	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPOTHALDYSF.FINEMAP.snp.bgz
Hypokalaemia	E4_HYPOKALAEMIA	IV Endocrine, nutritional and metabolic diseases (E4_)	4067	3554.0	384093	0	0.0	1.0325	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPOKALAEMIA.FINEMAP.snp.bgz
Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease	E4_HYPERURI	IV Endocrine, nutritional and metabolic diseases (E4_)	143	129.0	384093	0	0.0	0.57514	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERURI.FINEMAP.snp.bgz
Hyperprolactinaemia, drug-induced	E4_HYPERPRO_ADVERSE	IV Endocrine, nutritional and metabolic diseases (E4_)	183	169.0	453550	0	0.0	0.6598	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERPRO_ADVERSE.FINEMAP.snp.bgz
Hyperprolactinaemia	E4_HYPERPRO	IV Endocrine, nutritional and metabolic diseases (E4_)	1207	1099.0	434894	0	0.0	0.99337	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERPRO.FINEMAP.snp.bgz
Hyperfunction of pituitary gland, other and/or unspecified	E4_HYPERPITNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	56	53.0	434894	0	0.0	0.37024	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERPITNAS.FINEMAP.snp.bgz
Hyperfunction of pituitary gland	E4_HYPERPIT	IV Endocrine, nutritional and metabolic diseases (E4_)	1736	1585.0	434894	0	0.0	1.0032	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERPIT.FINEMAP.snp.bgz
Hyperosmolality and hypernatraemia	E4_HYPEROSMHNAT	IV Endocrine, nutritional and metabolic diseases (E4_)	408	364.0	384093	0	1.0	0.84455	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPEROSMHNAT.FINEMAP.snp.bgz
Hyperkalaemia	E4_HYPERKALAEMIA	IV Endocrine, nutritional and metabolic diseases (E4_)	1788	1574.0	384093	0	1.0	1.015	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERKALAEMIA.FINEMAP.snp.bgz
Hyperchylomicronaemia	E4_HYPERCHYLO	IV Endocrine, nutritional and metabolic diseases (E4_)	67	61.0	384093	0	0.0	0.40268	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERCHYLO.FINEMAP.snp.bgz
Sequelae of hyperalimentation	E4_HYPERALISEQ	IV Endocrine, nutritional and metabolic diseases (E4_)	54	53.0	425881	0	0.0	0.37601	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERALISEQ.FINEMAP.snp.bgz
Other hyperalimentation	E4_HYPERALI	IV Endocrine, nutritional and metabolic diseases (E4_)	100	90.0	425881	0	0.0	0.51098	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_HYPERALI.FINEMAP.snp.bgz
Fluid overload	E4_FLUIDOVER	IV Endocrine, nutritional and metabolic diseases (E4_)	87	73.0	384093	0	0.0	0.47768	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_FLUIDOVER.FINEMAP.snp.bgz
Other disorders of electrolyte and fluid balance, not elsewhere classified	E4_FLUIDELECTRONAS	IV Endocrine, nutritional and metabolic diseases (E4_)	271	241.0	384093	0	0.0	0.74761	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_FLUIDELECTRONAS.FINEMAP.snp.bgz
Endocrine disorders, other/unspecified	E4_ENDODISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	681	627.0	434894	0	1.0	0.91312	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ENDODISNAS.FINEMAP.snp.bgz
Disorders of endocrine glands in diseases classified elsewhere	E4_ENDINOTH	IV Endocrine, nutritional and metabolic diseases (E4_)	55	50.0	434894	0	0.0	0.37857	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ENDINOTH.FINEMAP.snp.bgz
Delayed puberty	E4_DELPUB	IV Endocrine, nutritional and metabolic diseases (E4_)	282	242.0	434894	0	1.0	0.77114	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_DELPUB.FINEMAP.snp.bgz
Disorders of aromatic amino-acid metabolism	E4_AROMAMINO	IV Endocrine, nutritional and metabolic diseases (E4_)	103	96.0	384093	0	0.0	0.51867	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_AROMAMINO.FINEMAP.snp.bgz
Organ-limited amyloidosis	E4_AMYL_ORGAN	IV Endocrine, nutritional and metabolic diseases (E4_)	103	97.0	384093	0	0.0	0.51168	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_AMYL_ORGAN.FINEMAP.snp.bgz
Alkalosis	E4_ALKALOSIS	IV Endocrine, nutritional and metabolic diseases (E4_)	71	65.0	384093	0	0.0	0.41874	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ALKALOSIS.FINEMAP.snp.bgz
Disorders of adrenal gland, other and/or unspecified	E4_ADRENAS	IV Endocrine, nutritional and metabolic diseases (E4_)	155	140.0	434894	0	0.0	0.62343	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ADRENAS.FINEMAP.snp.bgz
Adrenomedullary hyperfunction	E4_ADREMEDHYPER	IV Endocrine, nutritional and metabolic diseases (E4_)	90	84.0	434894	0	0.0	0.48234	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ADREMEDHYPER.FINEMAP.snp.bgz
Acromegaly and pituitary gigantism	E4_ACROMEG	IV Endocrine, nutritional and metabolic diseases (E4_)	211	195.0	434894	0	0.0	0.69275	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ACROMEG.FINEMAP.snp.bgz
Acidosis	E4_ACIDOSIS	IV Endocrine, nutritional and metabolic diseases (E4_)	593	524.0	384093	0	0.0	0.92179	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_E4_ACIDOSIS.FINEMAP.snp.bgz
Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced	DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION	XI Diseases of the digestive system (K11_)	123	116.0	453610	0	0.0	0.55748	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION.FINEMAP.snp.bgz
Drug-induced osteoporosis	DRUGADVERS_OSTEOPO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	346	307.0	453387	0	0.0	0.81896	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_OSTEOPO.FINEMAP.snp.bgz
Drug-induced neutropenia	DRUGADVERS_NEUTROPENIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2318	2124.0	451415	0	0.0	1.016	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_NEUTROPENIA.FINEMAP.snp.bgz
Drug-induced interstitial lung disorders, unspecified	DRUGADVERS_INTERSTITIAL_LUNG_DISORD_UNSPE	X Diseases of the respiratory system (J10_)	52		453681	0		0.35673	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_INTERSTITIAL_LUNG_DISORD_UNSPE.FINEMAP.snp.bgz
Drug-induced headache, not elsewhere classified	DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED	VI Diseases of the nervous system (G6_)	173	146.0	453560	0	0.0	0.63178	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED.FINEMAP.snp.bgz
Drug-induced gout	DRUGADVERS_GOUT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	142	129.0	453591	0	0.0	0.57918	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_GOUT.FINEMAP.snp.bgz
Drug-induced dystonia	DRUGADVERS_DYSTON	VI Diseases of the nervous system (G6_)	99	94.0	453634	0	0.0	0.4823	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_DYSTON.FINEMAP.snp.bgz
Drug-induced cataract	DRUGADVERS_CATAR	VII Diseases of the eye and adnexa (H7_)	717	660.0	453016	0	1.0	0.94437	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_CATAR.FINEMAP.snp.bgz
Drug-induced adrenocortical insufficiency	DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY	IV Endocrine, nutritional and metabolic diseases (E4_)	509	441.0	453224	0	0.0	0.88833	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY.FINEMAP.snp.bgz
TMD muscular pain linked with fibromyalgia	DENTAL_TMD_FIBRO	Dental endpoints	286	10243.0	453447	0	1.0	0.75823	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_DENTAL_TMD_FIBRO.FINEMAP.snp.bgz
