phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Psychotic depression	F5_DEPRESSION_PSYCHOTIC	V Mental and behavioural disorders (F5_)	2368	2149	236510	0	0	1.0393
Dependent personality disorder	F5_DEPPER	V Mental and behavioural disorders (F5_)	688	656	441041	0	0	0.94163
Mental and behavioural disorders due to cannabinoids	F5_CANNABIS	V Mental and behavioural disorders (F5_)	1083	1010	445828	0	0	0.99203
Bulimia nervosa (incl. atypical)	F5_BULIMIA	V Mental and behavioural disorders (F5_)	1262	1126	440202	0	0	1.0193
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	F5_BEHEMOCHILD	V Mental and behavioural disorders (F5_)	8406	7028	445327	0	0	1.0734
Anorexia (incl.atypical)	F5_ANOREX	V Mental and behavioural disorders (F5_)	2352	2115	440202	0	0	1.0163
Agoraphobia	F5_AGORAPHOBIA	V Mental and behavioural disorders (F5_)	1153	1003	403817	0	0	1.0093
Eosinophilic disease (BM)	ESOSINOPHIL_DISEASE	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	480	441	250671	0	0	0.87364
Epileptic seizures related to alcohol	EPISEIZALCO	Alcohol related diseases	184	176	453549	0	0	0.64574
Epileptic seizures related to drugs	EPILEPTIC_SEIZU_RELATED_DRUGS	VI Diseases of the nervous system (G6_)	101	95	453632	0	0	0.4785
Volume depletion	E4_VOLUME	IV Endocrine, nutritional and metabolic diseases (E4_)	3318	2913	384093	0	0	1.024
Vitamin A deficiency	E4_VIT_A_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	144	129	424573	0	0	0.60847
Thyrotoxicosis factitia	E4_THYTOXFAC	IV Endocrine, nutritional and metabolic diseases (E4_)	100	93	443932	0	0	0.50408
Disorder of thyroid, unspecified	E4_THYROIDNASOTH	IV Endocrine, nutritional and metabolic diseases (E4_)	377	331	385630	0	1	0.84298
Drug-induced thyroiditis	E4_THYROIDITDRUG	IV Endocrine, nutritional and metabolic diseases (E4_)	65	50	385630	0	0	0.39774
Acute thyroiditis	E4_THYROIDITACU	IV Endocrine, nutritional and metabolic diseases (E4_)	130	116	385630	0	0	0.56813
Disease of thymus, other/unspecified	E4_THYMUSDISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	50		434894	0		0.35131
Diseases of thymus	E4_THYMUSDIS	IV Endocrine, nutritional and metabolic diseases (E4_)	80	76	434894	0	0	0.45501
Thyroid crisis or storm	E4_THYCRISIS	IV Endocrine, nutritional and metabolic diseases (E4_)	75	66	385630	0	0	0.45091
Thiamine deficiency	E4_THIA_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	166	155	424573	0	0	0.62654
Testicular hypofunction	E4_TESTICHYPO	IV Endocrine, nutritional and metabolic diseases (E4_)	972	782	192896	0	0	0.98107
Testicular dysfunction, other/unspecified	E4_TESTICDYSNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	126	106	192896	0	0	0.54141
Sequelae of malnutrition and other nutritional deficiencies	E4_SEQUMAL	IV Endocrine, nutritional and metabolic diseases (E4_)	72	66	424573	0	0	0.41906
Disorders of puberty, other/unspecified	E4_PUBDISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	124	115	434894	0	0	0.54771
Unspecified severe protein-energy malnutrition	E4_PROTMALSEVERNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	51		453148	0		0.34743
Unspecified protein-energy malnutrition	E4_PROTMALNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	149	127	453148	0	0	0.59257
Protein-energy malnutrition of moderate and mild degree	E4_PROTMALMODMILD	IV Endocrine, nutritional and metabolic diseases (E4_)	233	211	453148	0	0	0.70752
Precocious puberty	E4_PREPUB	IV Endocrine, nutritional and metabolic diseases (E4_)	152	135	434894	0	0	0.5988
Other porphyria	E4_PORPHYNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	53		384093	0		0.3688
Disorder of pancreatic internal secretion, other and/or unspecified	E4_PANCSECNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	226	210	450646	0	0	0.70734
Drug-induced obesity	E4_OBESITYDRUG	IV Endocrine, nutritional and metabolic diseases (E4_)	288	267	426022	0	0	0.77451
Other specified/unspecified nutritional deficiencies	E4_NUTRI_DEF_NAS	IV Endocrine, nutritional and metabolic diseases (E4_)	236	221	424573	0	0	0.72198
Disorders of magnesium metabolism	E4_MG_MET	IV Endocrine, nutritional and metabolic diseases (E4_)	198	175	384093	0	0	0.6691
Magnesium deficiency	E4_MG_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	82	73	424573	0	0	0.45768
Marasmic kwashiorkor	E4_MARAKWASH	IV Endocrine, nutritional and metabolic diseases (E4_)	71	64	453148	0	0	0.40349
Malnutrition	E4_MALNUTRITION	IV Endocrine, nutritional and metabolic diseases (E4_)	585	524	453148	0	0	0.91299
Localized adiposity	E4_LOCALADIP	IV Endocrine, nutritional and metabolic diseases (E4_)	152	137	425881	0	0	0.61432
Lipomatosis, not elsewhere classified	E4_LIPOMATOSIS	IV Endocrine, nutritional and metabolic diseases (E4_)	83	74	384093	0	1	0.4642
Lipoprotein deficiency	E4_LIPODEF	IV Endocrine, nutritional and metabolic diseases (E4_)	61	55	384093	0	0	0.39176
Hypothyroidism, autoimmune, DX-based	E4_HYTHY_AI_DX	IV Endocrine, nutritional and metabolic diseases (E4_)	123	108	453121	0	0	0.5636
Hypothyroidism due to medicaments and other exogenous substances	E4_HYTHYSUBS	IV Endocrine, nutritional and metabolic diseases (E4_)	322	280	385630	0	0	0.79319
Postinfectious hypothyroidism	E4_HYTHYPOSTINF	IV Endocrine, nutritional and metabolic diseases (E4_)	185	168	385630	0	0	0.66868
Hypothalamic dysfunction, including iatrogenic, not elsewhere classified	E4_HYPOTHALDYSF	IV Endocrine, nutritional and metabolic diseases (E4_)	60	58	434894	0	0	0.38247
Hypokalaemia	E4_HYPOKALAEMIA	IV Endocrine, nutritional and metabolic diseases (E4_)	4067	3554	384093	0	0	1.0325
Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease	E4_HYPERURI	IV Endocrine, nutritional and metabolic diseases (E4_)	143	129	384093	0	0	0.57514
Hyperprolactinaemia, drug-induced	E4_HYPERPRO_ADVERSE	IV Endocrine, nutritional and metabolic diseases (E4_)	183	169	453550	0	0	0.6598
Hyperprolactinaemia	E4_HYPERPRO	IV Endocrine, nutritional and metabolic diseases (E4_)	1207	1099	434894	0	0	0.99337
Hyperfunction of pituitary gland, other and/or unspecified	E4_HYPERPITNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	56	53	434894	0	0	0.37024
Hyperfunction of pituitary gland	E4_HYPERPIT	IV Endocrine, nutritional and metabolic diseases (E4_)	1736	1585	434894	0	0	1.0032
Hyperosmolality and hypernatraemia	E4_HYPEROSMHNAT	IV Endocrine, nutritional and metabolic diseases (E4_)	408	364	384093	0	1	0.84455
Hyperkalaemia	E4_HYPERKALAEMIA	IV Endocrine, nutritional and metabolic diseases (E4_)	1788	1574	384093	0	1	1.015
Hyperchylomicronaemia	E4_HYPERCHYLO	IV Endocrine, nutritional and metabolic diseases (E4_)	67	61	384093	0	0	0.40268
Sequelae of hyperalimentation	E4_HYPERALISEQ	IV Endocrine, nutritional and metabolic diseases (E4_)	54	53	425881	0	0	0.37601
Other hyperalimentation	E4_HYPERALI	IV Endocrine, nutritional and metabolic diseases (E4_)	100	90	425881	0	0	0.51098
Fluid overload	E4_FLUIDOVER	IV Endocrine, nutritional and metabolic diseases (E4_)	87	73	384093	0	0	0.47768
Other disorders of electrolyte and fluid balance, not elsewhere classified	E4_FLUIDELECTRONAS	IV Endocrine, nutritional and metabolic diseases (E4_)	271	241	384093	0	0	0.74761
Endocrine disorders, other/unspecified	E4_ENDODISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	681	627	434894	0	1	0.91312
Disorders of endocrine glands in diseases classified elsewhere	E4_ENDINOTH	IV Endocrine, nutritional and metabolic diseases (E4_)	55	50	434894	0	0	0.37857
Delayed puberty	E4_DELPUB	IV Endocrine, nutritional and metabolic diseases (E4_)	282	242	434894	0	1	0.77114
Disorders of aromatic amino-acid metabolism	E4_AROMAMINO	IV Endocrine, nutritional and metabolic diseases (E4_)	103	96	384093	0	0	0.51867
Organ-limited amyloidosis	E4_AMYL_ORGAN	IV Endocrine, nutritional and metabolic diseases (E4_)	103	97	384093	0	0	0.51168
Alkalosis	E4_ALKALOSIS	IV Endocrine, nutritional and metabolic diseases (E4_)	71	65	384093	0	0	0.41874
Disorders of adrenal gland, other and/or unspecified	E4_ADRENAS	IV Endocrine, nutritional and metabolic diseases (E4_)	155	140	434894	0	0	0.62343
Adrenomedullary hyperfunction	E4_ADREMEDHYPER	IV Endocrine, nutritional and metabolic diseases (E4_)	90	84	434894	0	0	0.48234
Acromegaly and pituitary gigantism	E4_ACROMEG	IV Endocrine, nutritional and metabolic diseases (E4_)	211	195	434894	0	0	0.69275
Acidosis	E4_ACIDOSIS	IV Endocrine, nutritional and metabolic diseases (E4_)	593	524	384093	0	0	0.92179
Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced	DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION	XI Diseases of the digestive system (K11_)	123	116	453610	0	0	0.55748
Drug-induced osteoporosis	DRUGADVERS_OSTEOPO	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	346	307	453387	0	0	0.81896
Drug-induced neutropenia	DRUGADVERS_NEUTROPENIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2318	2124	451415	0	0	1.016
Drug-induced interstitial lung disorders, unspecified	DRUGADVERS_INTERSTITIAL_LUNG_DISORD_UNSPE	X Diseases of the respiratory system (J10_)	52		453681	0		0.35673
Drug-induced headache, not elsewhere classified	DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED	VI Diseases of the nervous system (G6_)	173	146	453560	0	0	0.63178
Drug-induced gout	DRUGADVERS_GOUT	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	142	129	453591	0	0	0.57918
Drug-induced dystonia	DRUGADVERS_DYSTON	VI Diseases of the nervous system (G6_)	99	94	453634	0	0	0.4823
Drug-induced cataract	DRUGADVERS_CATAR	VII Diseases of the eye and adnexa (H7_)	717	660	453016	0	1	0.94437
Drug-induced adrenocortical insufficiency	DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY	IV Endocrine, nutritional and metabolic diseases (E4_)	509	441	453224	0	0	0.88833
TMD muscular pain linked with fibromyalgia	DENTAL_TMD_FIBRO	Dental endpoints	286	10243	453447	0	1	0.75823
Other and unspecified disorders of white blood cells	D3_WHITEBLOODCELLNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1299	1166	445490	0	0	1.0021
Thrombocytopenia, unspecified	D3_THROMBOCYTOPENIANAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2295	2052	446531	0	0	1.0165
Other and unspecified diseases of spleen	D3_SPLEENNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	124	110	445490	0	0	0.55852
Secondary sideroblastic anaemia	D3_SIDEROANASCND	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	94	86	435305	0	0	0.4931
Other sideroblastic anaemias	D3_SIDEROANAMIEAOTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	123	111	435305	0	0	0.55221
Hereditary sideroblastic anaemia	D3_SIDEROANAEMIAHERED	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	116	108	435305	0	0	0.5368
Sickle-cell disorders	D3_SICKLECELLDIS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	63	56	452718	0	0	0.40962
Secondary thrombocytopenia	D3_SCNDTHROMBOCYTOPENIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	372	330	446531	0	0	0.83002
Secondary polycythaemia	D3_SCNDPOLYCYTHAEMIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	735	657	445490	0	1	0.95723
Severe combined immunodeficiency [SCID] with reticular dysgenesis	D3_SCIDA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	95	93	446523	0	0	0.49373
Purpura and other haemorrhagic conditions	D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4789	4297	446531	0	0	1.0244
Other nonthrombocytopenic purpura	D3_OTHNONTHROMBOCYTOPENPURPURA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	272	245	446531	0	0	0.74071
Other disorders of white blood cells	D3_OTHERWHITECELL	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1789	1614	445490	0	0	1.0109
Other and unspecified aplastic anaemias	D3_OTHERAPLASTICANAEMIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	346	317	435305	0	0	0.81151
Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue	D3_OTHDISLYMPHORETANDRETICULOHIST	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	99	89	445490	0	0	0.50008
Other nutritional anaemias	D3_NUTRIANAEMIAOTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	330	300	433007	0	0	0.80266
Haemolytic-uraemic syndrome	D3_NONAIHA_OTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	77	70	452718	0	0	0.45339
Other nonautoimmune haemolytic anaemias	D3_NOCT_HAEMOGLOBINURIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	52		452718	0		0.35863
Nezelof syndrome	D3_NEFELOF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	141	133	446523	0	0	0.57123
Infarction of spleen	D3_INFARCTSPLEEN	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	168	138	445490	0	1	0.63261
Immunodeficiency associated with other major defects	D3_IMMUDEFWITHMAJORDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	79	72	446523	0	0	0.44708
Other immunodeficiencies	D3_IMMUDEFOTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	334	308	446523	0	4	0.80573
Other or unspecified immunodeficiency	D3_IMMUDEFNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	111	104	446523	0	0	0.52218
Immunodeficiencies	D3_IMMUDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1580	1464	452153	0	0	1.0169
Hypersplenism	D3_HYPERSPLENISM	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	129	112	445490	0	0	0.56389
Hereditary spherocytosis	D3_HERESPHERO	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	86	76	452718	0	1	0.45311
Hereditary factor VIII deficiency	D3_HEREDFVIIIDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	88	80	446531	0	0	0.46362
Other and unspecified haemorrhagic conditions	D3_HAEMORRHAGICNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	494	441	446531	0	0	0.88625
Haemorrhagic disorder due to circulating anticoagulants	D3_HAEMORRHAGCIRGUANTICO	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	337	308	446531	0	0	0.80663
Familial erythrocytosis	D3_FAMIERYTHROCYTOCIS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	162	151	445490	0	0	0.62935
Disseminated intravascular coagulation [defibrination syndrome]	D3_DISSEINTRAVASCCOAG	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	99	90	446531	0	0	0.50254
Selective deficiency of immunoglobulin A [IgA]y	D3_DEF_IIGA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	137	126	446523	0	0	0.58901
Cyst of spleen	D3_CYSTSPLEEN	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	58	53	445490	0	0	0.38235
Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function	D3_CVID_BCELL	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	77	72	446523	0	0	0.43804
Other or unspecified common variable immunodeficiency	D3_CVIDNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	103	96	446523	0	0	0.50158
Common variable immunodeficiency	D3_CVID	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	197	184	446523	0	0	0.67033
Combined immunodeficiencies	D3_COMBIMMUDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	353	334	446523	0	0	0.81609
Other and unspecified diseases of blood and blood-forming organs	D3_BLOODNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	783	705	445490	0	0	0.95919
Folate deficiency anaemia	D3_ANAEMIA_FOLATEDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	239	202	433007	0	0	0.71958
Anaemia in chronic diseases classified elsewhere	D3_ANAEMIAINCHRONICDISEASE	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	707	627	435305	0	0	0.93337
Other autoimmune haemolytic anaemias	D3_AIHA_OTHER	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	348	302	452718	0	2	0.82097
Acute posthaemorrhagic anaemia	D3_ACUTEPOSTBLEEDANAEMIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1172	1057	435305	0	0	0.99324
Acquired pure red cell aplasia [erythroblastopenia]	D3_ACQPUREREDCLLAPLASIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	140	133	435305	0	0	0.5876
Pseudopolyposis of colon	COLONPSEUDOP	Gastrointestinal endpoints	94	82	432380	0	0	0.49297
Cytomegaloviral pneumonitis	CMV_PNEUMONIA	I Certain infectious and parasitic diseases (AB1_)	52	50	453075	0	2	0.3478
Other/unspecified cytomegaloviral diseases	CMV_NOS	I Certain infectious and parasitic diseases (AB1_)	549	487	453075	0	0	0.90721
Other/unspecified crystal arthropathies	CHRYSTAL_NOS	Rheuma endpoints	169	145	453185	0	0	0.62634
Other chondrocalcinosis	CHONDRO_OTH	Rheuma endpoints	336	311	453185	0	1	0.812
Mature T/NK-cell lymphomas (controls excluding all cancers)	CD2_TNK_LYMPHOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	399	363	345118	0	0	0.84412
Other leukaemias of specified cell type (controls excluding all cancers)	CD2_OTHER_LEUKAEMIA_SPECIFIED_EXALLC	II Neoplasms from hospital discharges (CD2_)	76	67	345118	0	0	0.43658
Multiple myeloma and malignant plasma cell neoplasms (controls excluding all cancers)	CD2_MULTIPLE_MYELOMA_PLASMA_CELL_EXALLC	II Neoplasms from hospital discharges (CD2_)	1480	1337	345118	0	0	1.0183
Monocytic leukaemia (controls excluding all cancers)	CD2_MONOCYTIC_LEUKAEMIA_EXALLC	II Neoplasms from hospital discharges (CD2_)	94	85	345118	0	0	0.49281
Leukaemia of unspecified cell type (controls excluding all cancers)	CD2_LEUKAEMIA_NAS_EXALLC	II Neoplasms from hospital discharges (CD2_)	268	239	345118	0	0	0.74696
Carcinoma in situ of vagina (controls excluding all cancers)	CD2_INSITU_VAGINA_EXALLC	II Neoplasms from hospital discharges (CD2_)	133	85	201404	0	0	0.57825
Carcinoma in situ of rectum (controls excluding all cancers)	CD2_INSITU_RECTUM_EXALLC	II Neoplasms from hospital discharges (CD2_)	227	83	345046	0	0	0.71433
Carcinoma in situ of prostate (controls excluding all cancers)	CD2_INSITU_PROSTATE_EXALLC	II Neoplasms from hospital discharges (CD2_)	174	135	143535	0	0	0.65309
Carcinoma in situ of lip, oral cavity and pharynx (controls excluding all cancers)	CD2_INSITU_ORALCAVITY_EXALLC	II Neoplasms from hospital discharges (CD2_)	62	52	345096	0	0	0.38685
Carcinoma in situ of larynx (controls excluding all cancers)	CD2_INSITU_LARYNX_EXALLC	II Neoplasms from hospital discharges (CD2_)	56		345102	0		0.37814
Carcinoma in situ of endometrium (controls excluding all cancers)	CD2_INSITU_ENDOMETRIUM_EXALLC	II Neoplasms from hospital discharges (CD2_)	137	124	201459	0	0	0.51803
Carcinoma in situ of colon (controls excluding all cancers)	CD2_INSITU_COLON_EXALLC	II Neoplasms from hospital discharges (CD2_)	375	130	344974	0	0	0.836
Carcinoma in situ of breast, lobular (controls excluding all cancers)	CD2_INSITU_BREAST_LOBULAR_EXALLC	II Neoplasms from hospital discharges (CD2_)	207	184	201484	0	0	0.68919
Carcinoma in situ of breast (controls excluding all cancers)	CD2_INSITU_BREAST_EXALLC	II Neoplasms from hospital discharges (CD2_)	116	241	201432	0	0	0.55349
Benign neoplasm: Eye, unspecified (controls excluding all cancers)	CD2_EYE_NOS_EXALLC	II Neoplasms from hospital discharges (CD2_)	138	119	345037	0	0	0.58171
Other benign neoplasms of uterus	CD2_BENIGN_UTERUS_OTH	II Neoplasms from hospital discharges (CD2_)	1692	1575	252926	0	0	1.028
Benign neoplasm: Uterine tubes and ligaments	CD2_BENIGN_UTERINE_TUBES_LIGAMENTS	II Neoplasms from hospital discharges (CD2_)	196	175	254422	0	0	0.68024
Benign neoplasm: Urinary organ, other/unspecified	CD2_BENIGN_URINARY_NOS	II Neoplasms from hospital discharges (CD2_)	87	84	453646	0	0	0.46983
Benign neoplasm of urinary organs	CD2_BENIGN_URINARY	II Neoplasms from hospital discharges (CD2_)	1423	1270	452310	0	0	1.0067
Benign neoplasm: Tonsil	CD2_BENIGN_TONSIL	II Neoplasms from hospital discharges (CD2_)	349	317	453384	0	0	0.81324
Benign neoplasm: Tongue	CD2_BENIGN_TONGUE	II Neoplasms from hospital discharges (CD2_)	854	779	452879	0	0	0.96607
Benign neoplasm: Thymus	CD2_BENIGN_THYMUS	II Neoplasms from hospital discharges (CD2_)	58	56	453675	0	0	0.38214
Benign neoplasm: Testis	CD2_BENIGN_TESTIS	II Neoplasms from hospital discharges (CD2_)	133	122	198982	0	0	0.56578
Benign neoplasm: Other and unspecified parts of small intestine	CD2_BENIGN_SMALL_INTESTINE_OTH	II Neoplasms from hospital discharges (CD2_)	466	435	453267	0	0	0.87616
Benign neoplasm: Small intestine	CD2_BENIGN_SMALL_INTESTINE	II Neoplasms from hospital discharges (CD2_)	1197	1094	452536	0	0	1.0053
Benign neoplasm: Scrotum	CD2_BENIGN_SCROTUM	II Neoplasms from hospital discharges (CD2_)	131	110	198984	0	0	0.57246
Benign neoplasm: other/unspecified salivary gland	CD2_BENIGN_SALIVARY_NOS	II Neoplasms from hospital discharges (CD2_)	884	817	452849	0	0	0.97406
Benign neoplasm: Ribs, sternum and clavicle	CD2_BENIGN_RIBS_STERNUM_CLAVICLE	II Neoplasms from hospital discharges (CD2_)	78	70	453655	0	0	0.44922
Benign neoplasm of soft tissue of retroperitoneum and peritoneum	CD2_BENIGN_RETROPERITONEUM_PERITONEUM	II Neoplasms from hospital discharges (CD2_)	171	154	453562	0	0	0.63271
Benign neoplasm: Respiratory system, unspecified	CD2_BENIGN_RESPIRATORY_NOS	II Neoplasms from hospital discharges (CD2_)	63	55	453670	0	0	0.40446
Benign neoplasm: Prostate	CD2_BENIGN_PROSTATE	II Neoplasms from hospital discharges (CD2_)	201	185	198914	0	0	0.68544
Benign neoplasm: Pineal gland	CD2_BENIGN_PINEAL	II Neoplasms from hospital discharges (CD2_)	73	61	453660	0	0	0.43788
Benign neoplasm: Pharynx, unspecified	CD2_BENIGN_PHARYNX_NOS	II Neoplasms from hospital discharges (CD2_)	222	200	453511	0	1	0.70278
Benign neoplasm: Penis	CD2_BENIGN_PENIS	II Neoplasms from hospital discharges (CD2_)	65	61	199050	0	0	0.41468
Benign neoplasm: Pelvic bones, sacrum and coccyx	CD2_BENIGN_PELVIC_BONES_SACRUM_COCCYX	II Neoplasms from hospital discharges (CD2_)	110	93	453623	0	0	0.51813
Benign neoplasm: Parathyroid gland	CD2_BENIGN_PARATHYROID	II Neoplasms from hospital discharges (CD2_)	323	300	453410	0	1	0.80371
Benign neoplasm: Pancreas	CD2_BENIGN_PANCREAS	II Neoplasms from hospital discharges (CD2_)	701	603	453032	0	0	0.94498
Benign neoplasm of other and ill-defined parts of digestive system	CD2_BENIGN_OTHERDIGESTIVE	II Neoplasms from hospital discharges (CD2_)	6205	5545	447528	0	0	1.0276
Benign neoplasm: Other parts of oropharynx	CD2_BENIGN_OROPHA_OTHER	II Neoplasms from hospital discharges (CD2_)	279	244	453454	0	0	0.76597
Benign neoplasm: Orbit, unspecified	CD2_BENIGN_ORBIT_NOS	II Neoplasms from hospital discharges (CD2_)	181	164	453552	0	0	0.65401
Benign neoplasm: Oesophagus	CD2_BENIGN_OESOPHAGUS	II Neoplasms from hospital discharges (CD2_)	366	332	453367	0	0	0.82428
Benign neoplasm of mouth and pharynx	CD2_BENIGN_MOUTH_PHARYNX	II Neoplasms from hospital discharges (CD2_)	3821	3487	449912	0	0	1.013
Benign neoplasm: Spinal meninges	CD2_BENIGN_MENINGES_SPINAL	II Neoplasms from hospital discharges (CD2_)	290	266	453443	0	1	0.77786
Beningn neoplasm: Meninges, unspecified	CD2_BENIGN_MENINGES_NOS	II Neoplasms from hospital discharges (CD2_)	497	441	453236	0	0	0.8853
Melanocytic naevi of lip	CD2_BENIGN_MELANOCYTIC_LIP	II Neoplasms from hospital discharges (CD2_)	283	251	453450	0	0	0.7666
Melanocytic naevi of other and unspecified parts of face	CD2_BENIGN_MELANOCYTIC_FACE	II Neoplasms from hospital discharges (CD2_)	1995	1719	451738	0	0	1.0187
Benign neoplasm of male genital organs	CD2_BENIGN_MALE_GEN	II Neoplasms from hospital discharges (CD2_)	651	585	198464	0	0	0.93649
Benign neoplasm: Lymph nodes	CD2_BENIGN_LYMPHNODES	II Neoplasms from hospital discharges (CD2_)	85	79	453648	0	0	0.46106
Lymphangioma, anys site	CD2_BENIGN_LYMPHANGIOMA	II Neoplasms from hospital discharges (CD2_)	250	224	453483	0	0	0.73668
Benign neoplasm: Liver	CD2_BENIGN_LIVER	II Neoplasms from hospital discharges (CD2_)	658	566	453075	0	0	0.93745
Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	CD2_BENIGN_LIPO_SKIN_HEADFACENECK	II Neoplasms from hospital discharges (CD2_)	2134	1909	451599	0	0	1.0159
Benign lipomatous neoplasm of  of intra-abdominal organs	CD2_BENIGN_LIPO_INTRATHO	II Neoplasms from hospital discharges (CD2_)	84	75	453649	0	0	0.46621
Benign neoplasm: Lip	CD2_BENIGN_LIP	II Neoplasms from hospital discharges (CD2_)	681	632	453052	0	0	0.94468
Benign neoplasm: Kidney	CD2_BENIGN_KIDNEY	II Neoplasms from hospital discharges (CD2_)	992	870	452741	0	2	0.98368
Benign neoplasm: Other specified/unspecified intrathoracic organs (+ respiratory system NOS of Icd-9)	CD2_BENIGN_INTRATHORACIC_NOS	II Neoplasms from hospital discharges (CD2_)	87	78	453646	0	0	0.47191
Benign neoplasm of other and unspecified intrathoracic organs	CD2_BENIGN_INTRATHORACIC	II Neoplasms from hospital discharges (CD2_)	323	290	453410	0	0	0.79578
Benign neoplasm: Hypopharynx	CD2_BENIGN_HYPOPHARYNX	II Neoplasms from hospital discharges (CD2_)	137	126	453596	0	0	0.58516
